config,fitness
"[0, 6, 2, 4, 3, 5, 1, 7]",0.077
"[0, 1, 3, 4, 5, 6, 7, 2]",0.077
"[1, 6, 7, 4, 5, 0, 3, 2]",0.077
"[7, 5, 4, 3, 2, 1, 6, 0]",0.077
"[2, 5, 0, 7, 6, 1, 4, 3]",0.077
"[3, 4, 5, 6, 7, 1, 2, 0]",0.077
"[3, 4, 5, 6, 7, 1, 2, 0]",0.077
"[6, 5, 1, 3, 2, 4, 0, 7]",0.077
"[1, 6, 7, 0, 5, 2, 3, 4]",0.077
"[2, 3, 5, 4, 6, 7, 1, 0]",0.077
"[7, 6, 5, 1, 2, 3, 4, 0]",0.077
"[5, 6, 3, 4, 1, 0, 7, 2]",0.077
"[2, 0, 1, 7, 6, 5, 4, 3]",0.077
"[0, 1, 3, 4, 5, 6, 7, 2]",0.077
"[6, 1, 0, 3, 2, 7, 4, 5]",0.077
"[3, 2, 5, 0, 7, 6, 1, 4]",0.077
"[7, 5, 6, 0, 1, 2, 3, 4]",0.077
"[1, 2, 0, 4, 5, 3, 7, 6]",0.077
"[5, 6, 3, 4, 1, 0, 7, 2]",0.077
"[7, 6, 0, 5, 4, 3, 2, 1]",0.077
"[0, 6, 2, 4, 3, 5, 1, 7]",0.077
"[7, 0, 1, 2, 3, 5, 4, 6]",0.077
"[5, 7, 6, 3, 4, 0, 2, 1]",0.077
"[4, 0, 1, 7, 3, 2, 5, 6]",0.077
"[1, 2, 3, 6, 5, 0, 7, 4]",0.077
"[7, 6, 2, 3, 4, 5, 1, 0]",0.077
"[2, 3, 0, 1, 4, 7, 6, 5]",0.077
"[0, 1, 5, 4, 3, 2, 6, 7]",0.077
"[0, 1, 7, 3, 5, 4, 6, 2]",0.077
"[0, 7, 6, 2, 4, 3, 5, 1]",0.077
"[6, 5, 2, 3, 7, 1, 0, 4]",0.077
"[7, 6, 5, 1, 2, 3, 4, 0]",0.077
"[0, 7, 6, 5, 4, 3, 1, 2]",0.077
"[6, 7, 1, 2, 3, 4, 5, 0]",0.077
"[0, 7, 6, 5, 4, 2, 3, 1]",0.077
"[7, 6, 4, 3, 2, 1, 0, 5]",0.077
"[5, 0, 1, 2, 7, 4, 3, 6]",0.077
"[7, 6, 0, 4, 2, 3, 1, 5]",0.077
"[5, 7, 6, 0, 1, 2, 3, 4]",0.077
"[7, 2, 3, 4, 5, 6, 0, 1]",0.077
"[1, 7, 3, 4, 5, 6, 2, 0]",0.077
"[1, 2, 0, 4, 3, 6, 7, 5]",0.077
"[7, 4, 5, 6, 1, 0, 3, 2]",0.077
"[4, 5, 2, 7, 0, 1, 6, 3]",0.077
"[1, 3, 2, 4, 5, 6, 7, 0]",0.077
"[1, 4, 3, 2, 7, 0, 5, 6]",0.077
"[0, 1, 7, 2, 3, 4, 5, 6]",0.077
"[0, 2, 3, 4, 5, 6, 1, 7]",0.077
"[1, 2, 3, 4, 5, 7, 6, 0]",0.077
"[3, 4, 5, 6, 7, 0, 2, 1]",0.077
"[6, 1, 0, 3, 2, 7, 4, 5]",0.077
"[3, 2, 1, 4, 7, 6, 5, 0]",0.077
"[6, 5, 2, 3, 7, 1, 0, 4]",0.077
"[6, 7, 1, 2, 3, 4, 5, 0]",0.077
"[2, 1, 4, 3, 6, 7, 0, 5]",0.077
"[3, 0, 5, 6, 7, 4, 1, 2]",0.077
"[5, 2, 7, 0, 1, 6, 3, 4]",0.077
"[4, 3, 6, 1, 0, 7, 2, 5]",0.077
"[0, 1, 7, 6, 4, 5, 3, 2]",0.077
"[0, 7, 5, 6, 4, 3, 2, 1]",0.077
